,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
59,"Do Right Woman, Do Right Man",Tell Mama The Complete Muscle Shoals Sessions (Remastered Reissue),Etta James,1968-08-21,180837,0,0.439,0.649,0.439,0.413,4.47e-06,0.12,-6.755,0.0293,144.162,3
60,Love Me Like a Man - Remastered,Give It Up (Remastered Version),Bonnie Raitt,1972,192200,54,0.595,0.3,0.595,0.525,3.15e-05,0.197,-11.582,0.0499,124.569,4
61,Pride and Joy,Texas Flood (Legacy Edition),Stevie Ray Vaughan,1983,219586,67,0.427,0.0274,0.427,0.626,0.00395,0.106,-11.821,0.0385,126.877,4
62,So Many Roads,You & Me,Joe Bonamassa,2006-06-06,425853,49,0.29,0.0114,0.29,0.756,0.148,0.0947,-5.408,0.039,146.458,3
63,The Mists Of Time,Stories,John Mayall & The Bluesbreakers,2002-08-26,475653,44,0.406,0.183,0.406,0.569,0.00195,0.0678,-7.619,0.0307,160.897,3
64,Inner City Man,Rock 'N' Roll Blues,Various Artists,2014-11-21,398226,0,0.493,0.472,0.493,0.451,7.93e-06,0.097,-10.375,0.0635,117.612,3
65,Old Love,Journeyman,Eric Clapton,1989-11-07,384466,44,0.71,0.633,0.71,0.387,0.00442,0.121,-13.034,0.0349,142.032,4
66,Same Old Blues,Getting Ready... (World),Freddie King,1971,239893,46,0.542,0.671,0.542,0.287,0.000449,0.0868,-12.024,0.0376,129.976,3
67,As the Years Go Passing By,Slow Blues - 25 Rare Blues Tracks,Various Artists,2014-01-20,288426,27,0.589,0.758,0.589,0.392,0.507,0.111,-8.66,0.0461,80.794,3
68,Dengue Woman Blues,From Dusk Till Dawn - Music From The Motion Picture,Original Soundtrack,1996-02-20,383706,42,0.394,0.339,0.394,0.337,0.0431,0.165,-10.709,0.0476,178.32,3
69,The Lily,The Lily,Layla Zoe,2013-08-30,572920,27,0.577,0.765,0.577,0.328,0.000371,0.105,-7.873,0.0291,127.514,3
70,If Trouble Was Money,Collins Mix,Albert Collins,1993-01-01,561066,34,0.48,0.515,0.48,0.349,0.0209,0.148,-15.027,0.0385,108.939,3
71,Soulshine,Where It All Begins,Allman Brothers Band,1994-05-03,403506,59,0.476,0.125,0.476,0.556,0.0117,0.0898,-6.501,0.0274,135.624,4
72,Bring It On Home To Me,Sonny & Brownie,Sonny Terry,1973-01-01,210533,37,0.569,0.441,0.569,0.208,0.0437,0.141,-16.167,0.0343,106.21,3
73,Blues in My Soul,Blues in My Soul,Lurrie Bell,2013-06-18,363346,33,0.616,0.621,0.616,0.548,0.179,0.362,-7.296,0.0374,158.278,3
74,Hold That Plane,70s Blues,Various Artists,2015-04-23,281413,22,0.564,0.529,0.564,0.512,0.00818,0.169,-9.202,0.0384,85.452,4
75,.32 Blues,Tailspin Headwhack,Chris Duarte Group,1997-09-04,444906,28,0.87,0.422,0.87,0.559,0.343,0.0896,-6.719,0.0321,114.108,4
76,Thats How Strong My Love Is,"Soul Classics (feat. Chris Norman, Chris Thompson, Laurie Wiefield, Geoff Whitehorn, Alex Conti)",The Legends,2011-09-30,214133,26,0.429,0.234,0.429,0.697,0.0,0.145,-6.114,0.0346,158.091,3
77,So Long 4 U (with Sonny Landreth),Into The Sun,Robben Ford,2015-03-27,311466,25,0.689,0.303,0.689,0.777,0.00306,0.438,-5.546,0.0443,127.989,4
78,When You Were My King,Original,Janiva Magness,2014-06-24,277840,0,0.557,0.317,0.557,0.436,2.26e-06,0.0963,-8.733,0.0288,136.056,4
79,Happier Times,The Ballad of John Henry,Joe Bonamassa,2009-02-24,400333,29,0.513,0.312,0.513,0.612,0.158,0.119,-8.396,0.0295,80.068,4
80,Somebody Hurt You,Bluesamericana,Keb' Mo',2014-04-22,217253,34,0.799,0.528,0.799,0.516,0.00382,0.136,-7.583,0.0342,94.002,4
81,The Time Has Come - Remastered,Highway to the Sun (Remastered),Snowy White,1994,288133,29,0.75,0.183,0.75,0.578,0.0407,0.0971,-7.966,0.0271,90.582,4
82,Midnight in Harlem,Revelator,Tedeschi Trucks Band,2011-06-03,352666,58,0.447,0.35,0.447,0.557,0.0145,0.11,-9.92,0.035,152.058,4
83,Blues for J,For the Lost and Found,Julian Sas,2000-01-01,535866,42,0.293,0.0161,0.293,0.475,0.0269,0.113,-8.651,0.0407,85.523,3
84,Little Boy Blue,Mannish Boy - Blues Classics,Various Artists,2016-08-18,207626,19,0.539,0.628,0.539,0.476,0.00151,0.0856,-9.69,0.0472,77.47,4
85,You Got The Silver,Hope And Desire,Susan Tedeschi,2005-01-01,171600,0,0.422,0.677,0.422,0.462,0.00139,0.175,-7.406,0.0509,93.81,4
86,Have You Ever Loved A Woman? - 40th Anniversary Version / 2010 Remastered,Layla And Other Assorted Love Songs (40th Anniversary / 2010 Remastered),Derek & The Dominos,1970-11-01,412960,0,0.303,0.642,0.303,0.648,0.053,0.407,-6.795,0.0512,170.379,3
87,T-Bone Blues,T-Bone Blues,T-Bone Walker,2005-03-29,228626,48,0.541,0.805,0.541,0.283,0.0367,0.0736,-13.659,0.0527,76.828,4
88,I'd Rather Go Blind,Deluxe Edition,Koko Taylor,2002,296333,0,0.54,0.353,0.54,0.306,0.000207,0.546,-9.676,0.0363,132.156,3
89,Open Book,Common Ground,Walter Trout,2010-07-02,282746,23,0.514,0.0588,0.514,0.509,0.0,0.137,-7.907,0.0356,128.181,4
90,Love Sick,Love Sick,Mari Jean,2019-12-31,319497,19,0.471,0.15,0.471,0.634,0.00218,0.106,-6.724,0.0272,72.479,4
91,Crazy Woman,The Essential Magic Slim,Magic Slim,2007-09-25,348466,28,0.426,0.258,0.426,0.618,0.00903,0.0744,-4.974,0.0495,149.781,3
92,Into the Blues,Into The Blues,Joan Armatrading,2008-11-04,263293,0,0.772,0.0844,0.772,0.561,0.00957,0.0487,-6.43,0.0381,120.092,4
